playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
35,0,Q1 15:00,False,CHI,[E.Pineiro],False,0,0,0,0,0,0,0,0,0
50,1,Q1 15:00,False,GB,"[R.Smith, A.Jones]",False,10,0,0,0,0,0,0,0,0
71,2,Q1 14:33,False,GB,"[R.Smith, A.Rodgers, A.Jones]",False,10,0,0,0,0,0,0,0,0
95,3,Q1 13:45,False,GB,"[R.Robertson-Harris, A.Rodgers]",False,10,0,0,0,0,0,0,0,0
125,4,Q1 13:15,False,GB,"[T.Cohen, A.Amos, J.Scott]",False,20,0,0,0,0,0,0,0,0
155,1,Q1 13:01,True,CHI,[K.Clark],False,10,0,0,0,0,0,0,0,0
195,1,Q1 12:33,True,CHI,"[K.Clark, D.Lowry, M.Davis]",False,10,5,0,5,0,0,0,0,0
216,2,Q1 11:58,True,CHI,"[M.Trubisky, A.Robinson, P.Smith]",False,5,0,0,0,0,0,0,0,0
238,3,Q1 11:54,True,CHI,"[M.Trubisky, R.Greene]",False,5,7,0,7,0,0,0,0,0
260,1,Q1 11:12,True,CHI,"[M.Trubisky, T.Cohen]",False,10,0,0,0,0,0,0,0,0
282,2,Q1 11:07,True,CHI,"[M.Trubisky, A.Amos]",False,10,1,0,1,0,0,0,0,0
303,3,Q1 10:25,True,CHI,"[M.Trubisky, B.Martinez]",False,9,0,0,0,0,0,0,0,0
327,4,Q1 09:47,True,CHI,"[T.Davis, P.O'Donnell]",False,15,0,0,0,0,0,0,0,0
381,1,Q1 09:39,False,GB,"[A.Rodgers, J.Graham]",False,10,0,0,0,0,0,0,0,0
403,2,Q1 09:33,False,GB,"[K.Mack, A.Jones]",False,10,0,0,0,0,0,0,0,0
424,3,Q1 08:51,False,GB,"[L.Floyd, A.Rodgers]",False,10,0,0,0,0,0,0,0,0
443,4,Q1 08:04,False,GB,"[K.Fackrell, T.Cohen, T.Brown, T.Summers, J.Scott]",False,17,0,0,0,0,0,0,0,0
485,1,Q1 07:53,True,CHI,"[K.King, D.Montgomery]",False,10,4,0,4,0,0,0,0,0
518,2,Q1 07:12,True,CHI,"[D.Montgomery, Z.Smith]",False,6,6,0,6,0,0,0,0,0
539,1,Q1 06:08,True,CHI,"[K.Clark, D.Montgomery, P.Smith]",False,10,1,0,1,0,0,0,0,0
575,2,Q1 05:23,True,CHI,"[D.Lowry, M.Davis]",False,9,4,0,4,0,0,0,0,0
596,3,Q1 04:41,True,CHI,"[M.Trubisky, T.Cohen, J.Alexander]",False,5,1,0,0,1,0,0,0,0
625,4,Q1 04:14,True,CHI,[E.Pineiro],False,4,0,0,0,0,0,0,1,1
659,0,Q1 04:09,False,CHI,[E.Pineiro],False,0,0,0,0,0,0,0,0,0
676,1,Q1 04:09,False,GB,"[D.Adams, A.Rodgers, P.Amukamara]",False,10,0,0,0,0,0,0,0,0
698,2,Q1 04:07,False,GB,"[K.Fuller, A.Rodgers, D.Adams]",False,10,5,0,0,5,0,0,0,0
722,3,Q1 03:25,False,GB,"[A.Rodgers, D.Adams]",False,5,0,0,0,0,0,0,0,0
744,4,Q1 03:20,False,GB,"[J.Iyiegbuniwe, T.Cohen, J.Scott]",False,5,0,0,0,0,0,0,0,0
801,1,Q1 03:13,True,CHI,"[M.Davis, Z.Smith]",False,10,1,0,1,0,0,0,0,0
822,2,Q1 02:32,True,CHI,"[M.Trubisky, A.Robinson, R.Greene, J.Alexander]",False,9,5,0,0,5,0,0,0,0
846,0,,True,,[],False,0,0,0,0,0,0,0,0,0
863,3,Q1 01:50,True,CHI,[T.Williams],False,4,0,0,0,0,0,0,0,0
896,1,Q1 01:46,True,CHI,"[M.Trubisky, T.Brown, A.Shaheen]",False,10,6,0,0,6,0,0,0,0
920,2,Q1 01:05,True,CHI,"[D.Montgomery, K.Fackrell, T.Brown]",False,4,6,0,6,0,0,0,0,0
